code,name,type,manager,company
000047,华夏双债增强债券A,债券型,柳万军,华夏基金
000048,华夏双债增强债券C,债券型,柳万军,华夏基金
000049,中银标普全球资源等权重指数,QDII-指数,陈学林,中银基金
000050,长盛纯债债券A,债券型,张帆,长盛基金
000051,华夏沪深300ETF联接,联接基金,张弘弢,华夏基金
000052,长盛纯债债券C,债券型,张帆,长盛基金
000053,鹏华实业债纯债债券,债券型,刘太阳,鹏华基金
000054,鹏华双债增利债券,债券型,刘建岩,鹏华基金
000055,广发纳斯达克100指数美元现汇,QDII-指数,李耀柱,广发基金
000056,建信消费升级混合,混合型,邱宇航,建信基金
000057,中银消费主题混合,混合型,钱亚风云,中银基金
000058,国联安保本混合,基金规模,国联安基金,基金评级
000059,国联安中证医药100,股票指数,黄欣,国联安基金
000061,华夏盛世混合,混合型,代瑞亮,华夏基金
000062,银华量化智慧动力混合,混合型,张凯,银华基金
000063,长盛电子信息主题灵活配置混合,混合型,赵宏宇,长盛基金
000064,大摩18个月定期开放债券,定开债券,李轶,摩根士丹利华鑫基金
000065,国富焦点驱动混合,混合型,赵晓东,国海富兰克林基金
000066,诺安鸿鑫保本混合,基金规模,诺安基金,基金评级
000067,民生加银转债优选A,债券型,杨林耘,民生加银基金
000068,民生加银转债优选C,债券型,杨林耘,民生加银基金
000069,国投瑞银中高等级债券A,债券型,刘莎莎,国投瑞银基金
000070,国投瑞银中高等级债券C,债券型,刘莎莎,国投瑞银基金
000071,华夏恒生ETF联接,QDII-指数,张弘弢,华夏基金
